Tweet,Message/tweets,positive,negative,polarity
29,"Dr Christiaan Schrag Shares Medical Advice About COVID19 Coronavirus for all of us who are afraid of this virus exploding in Canada and around the world.
Pulse by healthjobhub Episode 3 Special Guest Dr Christiaan Schrag MD PlasticSurgeon Humanithttpst.cojUJIXXtKbE",,"afraid, virus",negative
30,Charities need to be included in this economic aid package. The YMCA is a large employer in Canada  this support would make a real impact on our ability to manage through this crisis. httpst.coAXmAxLsWjD,support,,positive
31, CBCTheNational Step aside Kardashians Canadas chief public health officers are the new celebs dropping facts and reassurances daily,,,neutral
32,newsmanbluesman dstaples david is determined to try to find the negatives and try to show Canada failed. Looks to me like w ehave succeeded far beyond most of the countries that did early border closure. David never answers whether he would have closed our border to our 2 million returning citizens,"like, succeeded",negatives,positive
33, gilmcgowan Shandros behaviour raises questions about his suitability as health minister during the COVID19 pandemic says political,,,neutral
34," ClimateAudit Canadian authorities on Jan 23. More or less ridiculed idea of using Wuhanstyle lockdown of an entire city in Canada.
ht",,,neutral
35,Mercari Canada Journeys through the Rockies D httpst.coruK47dpXcF Mercari Canada Rockies History Travel Educational,,,neutral
36, travel Moraine Lake Canada. httpst.coJZ8dulfMEK,,,neutral
37, charlesrusnell Alberta health minister accused of berating Calgary physician intimidating citizens  CBC News httpst.co0SkUpGwh,,intimidating,negative
38,"Incompetent JustinTrudeau openly invited these Illegal Border Jumpers to Canada. They should have been turned back as soon as it started.
TrudeauWorstPM TrudeauMustGo httpst.coksdpY3R00D",openly,"illegal, incompetent",negative
39, joececiyyc Lets be clear about what happened shandro saw a doctor post a meme that he didnt like. Instead of focusing on COVID19,clear,,positive
40, CBCManitoba 2 women charged with 2nddegree murder after Nunavut mans body found in garbage bin httpst.coNhHKyygf37,,"garbage, murder",negative
41," btsotc MOTS 7 has achieved 21 1s on Official Charts
1 US
1 Japan
1 UK
1 Germany
1 France
1 Korea
1 Australia
1 Spain
1 Can",,,neutral
42, ESPERONCARLOS lilygabass nicolenia Cuando se va a entender que solamente piensan en sus fortunas. En Canad los sindicatos ante un,,,neutral
43, SafetyPinDaily Canada attacks damaging Trump plan to deploy troops at border  Via Reuters httpst.coXl8mgRH9fR,trump,"attacks, damaging",negative
44,"systemrename Not good news for CanadaMexico. The trade show must go on. 

Any way to calculate additional load to these countries imports of virus. Say at 100k500k crossingsday at 100k intervals

Crossed with infection rates in the US at  .2 increments

Very useful for our strategy.","good, useful",infection,positive
45, jeffryhouse TorontoPearson ChinaEasternNA foundationma AlibabaGroup Canada sent China help early in February and now China is he,,,neutral
46,"Amiks todologos del twitter Ayura

Seguro Canad tambin nos est mintiendo httpst.corVhcLYUeMr",,,neutral
47, NSVoice AndrewScheer How about also taking a wage cut from Government Service Office workers who refuse to work amp giving it to the,work,refuse,neutral
48,"TGIF 

Get your ride ready for Summer with new wheels rims floor mats etc. Whatever accessories or parts your vehicle needs we have you covered 

Shop now httpst.coBIx1UGVki1

tdotperformance perofrmanceparts roadtrip canada speed ford truck car suv httpst.coRJOiVzZttS",ready,,positive
49, trueDennisNedry BREAKING Canadas pension funds have been in bed with China. cppib OMERSVentures OtppInfo HOOPPnow PensionAB BC,,breaking,negative
50, kidsbookcentre We have updated our list of resources for ways to read Canadian at home Want new books while youre stuck in the house,,stuck,negative
51, nationalpost Liberals to run 113B deficit in 2021 with economy poised for stomachchurning plunge PBO httpst.coRFJN4v4Gid,poised,,positive
52,"TeaPainUSA Same in Canada the snowbirds that are coming back from Florida.   Brainwashed
Lost friends over it. Actually no loss to me",,"loss, lost",negative
53, DailyCaller Trudeau Sent 17 Tons Of Coronavirus Protective Supplies To China  Now Canada Running Low httpst.coJmHbkIQJJg,protective,,positive
54, CBCNews Takaya a wolf that lived alone for years on a tiny island near Victoria B.C. was shot and killed by a hunter this week.http,,killed,negative
55, courrierinter Le degr dinconscience dun grand nombre dAmricains face  la menace du Covid19 laisse pantois crit le quoti,grand,menace,neutral
56, CBCIndigenous Protect our elders Six Nations building barricades to block outsiders amid COVID19 httpst.cou460rmDkum,protect,,positive
57," btsotc MOTS 7 has achieved 21 1s on Official Charts
1 US
1 Japan
1 UK
1 Germany
1 France
1 Korea
1 Australia
1 Spain
1 Can",,,neutral
58,enelarcadenoe petricor1970 DDelgrossi Ya no viven en Canada. Tuvieron que devolver la mansin. Se mudaron a L.A. en plena pandemia. Son unos inconscientes desagradecidos.,,,neutral
59,RCMPAlberta townofpc Stunning. I love Canada. Stay safe.,love,,positive
60," zaidi71 Family Physicians will standup for their patients and publically funded primary healthcare for all.
httpst.coWScMtcPXfT",,,neutral
61, SwannyQLD Canada has announced  a 75 wage subsidy demonstrating yet again the Governments crashing failure in face of crisis,,"crashing, crisis, failure",negative
62,DavidDobrik I cant venmo Im in Canada ,,,neutral
63, vesponda Dicen los fachos que Canada es un ejemplo a seguir el Presidente lopezobrador lo entendi desde hace mucho y es lo que ha,,,neutral
64, chrisshipitv If true and danwootton has been right before I cant help but think Canada would be a safer place to be than the US c,right,,positive
65, JohnTheFame Americans watching Canada and Europe take care of their citizens during the pandemic httpst.coKlkz2lnzOT,,,neutral
66," ShawnaGofABPoli Shandys in a shitshow.

I almost feel bad for Steve Buick. Hell be earning ever dollar with his tax funded spin ma",,"bad, hell",negative
67," btsotc MOTS 7 has achieved 21 1s on Official Charts
1 US
1 Japan
1 UK
1 Germany
1 France
1 Korea
1 Australia
1 Spain
1 Can",,,neutral
68,"Like 911most of the terrorist hijackers came from Saudi Arabia. So of course we attackedampinvaded Iraq.

The COVID19 crises most people are led 2 believe came from China although it might have come from US or Canada.

So holding the same logic therefore we attack Iran instead","led, like",attack,positive
69," NorthResists Didnt they run on recall legislation abpoli ableg
Alberta health minister accused of berating Calgary physician in",,,neutral
70,Oneballpirate kovemaster559 CBCAlerts CBCNews Wtf are you talking about Canada has some of the highest testing rates on earth. The US was the one with the massive lack of testing.,,lack,negative
71, SafetyPinDaily Canada attacks damaging Trump plan to deploy troops at border  Via Reuters httpst.coXl8mgRH9fR,trump,"attacks, damaging",negative
72,Weve partnered with VballStuff to create a few items to recognize teams amp their families coming together and staying apart to stop the spread of COVID19. A portion of the proceeds from the gear will be donated to Food Banks Canada. httpst.coYaGsi6GwZ0 httpst.co1shOHpxUNe,,,neutral
73,aff esse o pai vai te q lana ser q ja tem aqui no Canad httpst.cobOG8yO6nsy,,,neutral
74, PapaJohns Just ordered PapaJohns Use promo code PAPATRACK for 25 off your next regular menu price order. U.S. amp Canada online only.,,,neutral
75," justrioba Canada the unemployed get 2000 for the next 4 months

Italy halted mortgages. landlords and tenants wont have to suffer",,"suffer, unemployed",negative
76,Does he mean medical supplies coming to Canada from China and overseas...WTF is he talking about httpst.coQ6pwnCWldX,,,neutral
77, Goodable BREAKING  Canada has announced the government will now pay 75 of employee wages for qualifying small and mediumsized Canad,,breaking,negative
78, SwannyQLD Canada has announced  a 75 wage subsidy demonstrating yet again the Governments crashing failure in face of crisis,,"crashing, crisis, failure",negative
79," BertaAdvantage hope this means we get a warmobilized command economy to tackle climate change 
httpst.coWyoLfriDHj",,,neutral
80," xgohub COVID19 New Cases

11533  USA

6273 Spain
6240 Germany
5909 Italy
3809 France
2926 Iran
2885 UK
2",,,neutral
81,TheSims For them to even work for me up in Canada I need a set up like this 1234ABCD5678EFGH. Oh well. I hope everyone is enjoying the free packs.  From Canada,"enjoying, free, like, work",,positive
82," CCDeals AMD GIVEAWAY
AMD wants to hook you for when things get back to normal ENTER for a chance to win
1. Follow Canada Comput",win,,positive
83,Son momentos duros para familias separadas por CoronaLockdown. Pero tambin hemos visto gran humanismo Trabajamos juntos para regresar turistas a Canada y reunir a jvenes en Canad con familiares en Panama Lets continue to show compassionampsolidarity CancilleriaPma httpst.coowG1sySc1c,,,neutral
84,KrissidIam the dollar stores in canada only carry yt people hair stuff ,,,neutral
85, PalomaSenadora Segn ese indictment Chvez acord con Maduro y con otros miembros de la Asamblea Nacional Venezolana retirar de sus,,,neutral
86, IndiaWilloughby danwootton As soon as the whispers about relocating to Africa laughable leaked I knew they were going to LA. The Af,,laughable,negative
87,Canada  la CVA rclame louverture des vapeshops pendant le confinement httpst.coWoipUlXxnk,,,neutral
88, charlesrusnell Alberta health minister accused of berating Calgary physician intimidating citizens  CBC News httpst.co0SkUpGwh,,intimidating,negative
89,The government thinks 1200 is enough. Meanwhile Canada getting 2k a month for every month the pandemic is still goin on.,,,neutral
90," VistaUniverse Yukon Canada  
via marcadamus httpst.coHcxecDum6E",,,neutral
91, picardonhealth A glimmer of hope  PhysicalDistancing has halved spread of COVID19 in B.C. modelling suggests by rhiannaschmunk,glimmer,,positive
92," BrentToderian BIG kudos to Calgary  City to test weekend road closures to help Calgarians keep their distance. 
The City is closin",kudos,,positive
93, AndrewTreusch For people worried about getting their Emergency Benefit payment as soon as possible set up a direct deposit with the C,benefit,"emergency, worried",negative
94," btsotc MOTS 7 has achieved 21 1s on Official Charts
1 US
1 Japan
1 UK
1 Germany
1 France
1 Korea
1 Australia
1 Spain
1 Can",,,neutral
95," btsotc MOTS 7 has achieved 21 1s on Official Charts
1 US
1 Japan
1 UK
1 Germany
1 France
1 Korea
1 Australia
1 Spain
1 Can",,,neutral
96,Our Government is taking action to increase support for small and private businesses. Between employee wage subsidies and the Canada Emergency Response Benefit we are ensuring Canada is in the best possible position to handle COVID19 httpst.cop3ZsAu6ZzR,"benefit, best, support",emergency,positive
97,RichardHeartWin Criteria for testing often strict. Here Canada requires symptomatic  have travelled or came in contact a confirmed Covid. If similar they are not testing many symptomatic and asymptomatic people. If it was a random sample of population then you can make your conclusion,,,neutral
98, charlesrusnell Follow coming soon but heres the original story. No response yet from jkenney for call from NDP opposition for Shandr,,opposition,negative
99,albertarabbit landcrabmech Canada needs to let big oil die and move on to renewables. We should have done so well over a decade ago.,well,die,neutral
100," patriciagamarra Cantidad de contagiados por cada milln de habitantes

261  EEUU
156  Panam
107  Canad
84    Chile
80    Ecuador
69",,,neutral
101," justrioba Canada the unemployed get 2000 for the next 4 months

Italy halted mortgages. landlords and tenants wont have to suffer",,"suffer, unemployed",negative
102, NYCEllieD drvox chrislhayes Fox is criminally liable for deceiving their viewers and putting them in harms way. They need to be take,,"deceiving, harms, liable",negative
103, DrJacobsRad This was inevitable. Those that follow me might remember that I said that we should be in lockstep with the U.S. with rega,,,neutral
104," AGENTW15 surveilz Despicable  . The same whores who would bow low to kiss the feet of an Arab oil sheik . 

Canada would look like Du",like,"despicable, whores",negative
105, CFHSvcs A Govt of Canada COVID19 selfassessment tool is now available. I encourage anyone experiencing symptoms or who have concern,encourage,"concern, symptoms",negative
106,One big mistake  Canada was way safe than crazy america and now they have to deal with mental case realDonaldTrump  have fun guys  u choose wrong httpst.coGuRZrjIegp,"fun, safe","crazy, mistake, wrong",negative
107, NightShiftMD See. It works. Physical distancing has halved spread of COVID19 in B.C. official modelling suggests  CBC News https,,,neutral
108, emmajcunliffe A universal basic income delivers housing stability improves mental health and reduces demands for health services ht,"improves, stability",,positive
109,Yeah were getting checks if you earn less than 99k. And its a pathetic one time payment of 1200. Canada is giving its citizens 2000 a month for the next FOUR MONTHS. We arent even the best country in North America. Ashamed to be an American today. httpst.comC8VYgBB1f,best,"ashamed, pathetic",negative
110, cbcnewsbc BREAKING NEWS Modelling shows physical distancing has halved spread of COVID19 in B.C. officials say  CBC News httpst,,breaking,negative
111," NancyCrouse I am in Ontario and I just received an alert on my cell phone. CIVIL EMERGENCY ALE. 
All people returning to Canada mus",,emergency,negative
112,CanadaPeru AirCanada Avianca Stop patting yourself on the back you still have work to do AmbJansenCAN httpst.colOulZbfflW,work,,positive
113, cbcnewsbc BREAKING NEWS Modelling shows physical distancing has halved spread of COVID19 in B.C. officials say  CBC News httpst,,breaking,negative
114,outlastseries in modern day Canada its against the rules of my sexy brain to let douma be alive sorry sweetheart lt3 you can keep shu if you want i think hes fun,"fun, modern, sexy, sweetheart",sorry,positive
115, PalomaSenadora Segn ese indictment Chvez acord con Maduro y con otros miembros de la Asamblea Nacional Venezolana retirar de sus,,,neutral
116," CityNewsMTL Boston Pizza International laying off half of its corporate staff across Canada.

httpst.co3kf6gvXNpN",,,neutral
117," DianneBrodie Virtual Learning Series Google Meet hs4
httpst.coRyq42UrEbx",,,neutral
118,s3aadyy Opin 12 cach dans la Canada goose,,,neutral
119, kieranleavitt BREAKING Calgary woman may go to police over Alberta health ministers email NDP calls for resignation ableg COVID19,,"breaking, resignation",negative
120, CorpsExquis Hey Im Mel I currently live in The Netherlands but Im French. Ive been a fan of Hannibal since season 1 but just rece,,,neutral
121, VoiceOfFranky COVID19 has now killed more people in Canada than SARS httpst.coMtMetGHDtX,,killed,negative
122, RadioCanadaInfo Ltat durgence se prpare  Montral avec la police pour contrler les dplacements httpst.coxGEB5iH4cn,,,neutral
123,"The coronavirus has reached some of the highest levels of government in several countries around the world with top figures in the UnitedStates Australia Iran UK Canada etc affected but NONE in CHINA.
How this can be possible even though they were the first to face",top,,positive
124," NancyCrouse I am in Ontario and I just received an alert on my cell phone. CIVIL EMERGENCY ALE. 
All people returning to Canada mus",,emergency,negative
125, irvingoil Its our way of saying thank you. To all Professional Drivers healthcare professionals and first responders going the ex,thank,,positive
126, pedsidsel Thank you to all the Ms across Canada  covid19 camrtbc acmdtt TheCMRITO CAMACTRM AHSmedia Mypureform MFradi,thank,,positive
127, sunlorrie There have now been 53 deaths and 4610 cases of COVID19 in Canada surpassing both the 44 deaths and 438 cases recorded in,,,neutral
128, VoiceOfFranky COVID19 has now killed more people in Canada than SARS httpst.coMtMetGHDtX,,killed,negative
129, Chodgy Hey all of you awesome international curlers Who wants to virtualbroomstack  We are making it at 12noon Central Time in Can,awesome,,positive
130, CanadensisMax Dear American neighbours your President is a fucking nut.  Love Canada.,love,fucking,neutral
131, Puglaas Modelling shows physical distancing has halved spread of COVID19 in B.C. officials say  CBC News httpst.cogNxCsbSw,,,neutral
132,Yikes  Canadian Food Inspection Agency shuts Alberta beef plant due to COVID19  Reuters httpst.cov2Tgp68ShT,,,neutral
133, ElectTories Thanks to our online petition and thousands of signatures from people like you the Conservative Party of Canada has suspe,like,conservative,neutral
134, CanadensisMax Dear American neighbours your President is a fucking nut.  Love Canada.,love,fucking,neutral
135," DrJacobsRad The people of Canada thank this unnamed doctor. The nation is grateful.

Cdnpoli COVID19",thank,,positive
136,"Ive worked for Canada and YourAlberta and took oaths each time which made it very clear that the impression of a conflict is treated the same as a conflict.

Albertas ethics commissioner doesnt actually understand ethics so what the fuck are we supposed to do now httpst.cogDeRWYgYRS","clear, worked","conflict, fuck",neutral
137,My grandma lives in Canada and they are under curfew. CoronaLockdown Also their leaders are advising that all shopping  wallets keys should be disinfected prior to bringing into the house strip your clothes and wash immediately. We should all be doing this too staysafe httpst.cox9gkuxwUPb,,,neutral
138,wafflepjm que ceux qui sont aux states et au Canada,,,neutral
139, drgbarrette Alors on sinquite Pas encore. Avonsnous dtect bcp de personnes positives Oui. Plus quailleurs au Canada Oui. Y e,positives,,positive
140, TomTSEC The Harry one formerly known as Prince and Duchess Kardashian Secret Service Code Name Grifter have left Canada and moved t,,,neutral
141,"He got in a big fight with the Queen amp wife got scared
Said Were movin to closer to your mom in Bel Aire

Looked at his new kingdom his was finally there
To finally sit on a throne as the Prince of Bel Air.
22 Megxit

httpst.coHKD3g4iqYV",,scared,negative
142," sidneychest SO SERVICE CANADA EMPLOYEES REFUSE TO WORK AND NOW GET FULL PAY

HOW DO SUFFERING CANADIANS GET FINANCIAL SUPPO

ARENT",work,"refuse, suffering",negative
143,Drs Nurses Grocery Store Workers etc Were all here to help you.   Service Canada Employees dont you bother coming through the front doors httpst.coTXx3mqOUQm,,bother,negative
144, brucearthur Trudeau announces Canada will cover 75 of wages for qualifying small and medium businesses to avoid layoffs backdated t,,,neutral
145, LaurieGarrett Well this is certainly grim  TheEconomist special intell unit predicts nearly all G20 nations will be pushed into a,well,grim,neutral
146," pulsomx Canad cubrir 75 de los salarios para pymes
 httpst.cofAoOT4MzTB httpst.coWNjfIdkZVo",,,neutral
147, CBCLondon Protect our elders Six Nations building barricades to block outsiders amid COVID19 httpst.co05q6gabjp6 httpst.co,protect,,positive
148,Lost in the noise in the U.S. this week was a suggestion by President Trump to militarize the border with Canada. httpst.co1hufaMCb3W,trump,"lost, noise",negative
149," NancyCrouse I am in Ontario and I just received an alert on my cell phone. CIVIL EMERGENCY ALE. 
All people returning to Canada mus",,emergency,negative
150, nascarred14 Billionaire pharmaceutical company founder Barry and his wife Honey Sherman were murdered in their Toronto home on Dec. 15,,,neutral
151, itsdgc At a time when testing for COVID19 has emerged as a key issue in painting the picture of how this virus is spreading across th,,"issue, virus",negative
152, fabulous445 Trudeau was elected only because of his looks nice hair Marijuana and being a Trudeau PERIOD. He was not elected biased,nice,biased,neutral
153, NoLore As you sit there laid off or out of work just remember that there are enough billionaires in Canada that could feed us all fo,"enough, work",,positive
154, kieranleavitt BREAKING Calgary woman may go to police over Alberta health ministers email NDP calls for resignation ableg COVID19,,"breaking, resignation",negative
155," FPChampagne Canada condemns the horrifying attack on Sikh worshippers in Afghanistan.

My thoughts and prayers are with the victims",,"attack, condemns, horrifying",negative
156,EXCLUSIVE Massive construction work on Trans Canada Hwy. in B.C. on hold  The Western Standard httpst.covE1r15UKRM,work,,positive
157,"SVRSU12 mandatory zoom info meeting.  Topic Bro talk
Time Mar 27 2020 0800 PM Eastern Time US and Canada

Join Zoom Meeting
httpst.co1HQrbVtVFU

Meeting ID 838 261 375",,mar,negative
158,DavidDobrik Doesnt work in Canada ,work,,positive
159, freshdaily Skyscrapers across the country are glowing hearts as a sign of hope and solidairty amid the outbreak   Modern Vision Ph,"glowing, modern",outbreak,positive
160, ElevatedMonkey Is JustinTrudeau gmbutts and cafreeland breaking Canadas laws and allowing the UN to bring in refugees under the co,,breaking,negative
161," NancyCrouse I am in Ontario and I just received an alert on my cell phone. CIVIL EMERGENCY ALE. 
All people returning to Canada mus",,emergency,negative
162,LIVE Province gives latest update as COVID19 cases reach 104  CBC News httpst.coR3wAk7MPOq  follow AlexSoloCBC for more. httpst.coEWTV1zn7Kf,,,neutral
163, andrewphung As an Albertan and someone who once called you a friend Im very disappointed in your behaviour shandro. You are an ele,,disappointed,negative
164,Tides have turned... httpst.cob9sMIRenMj,,,neutral
165," usmade1001 Trump expected to send U.S. troops to Canada border to support operations amid coronavirus crisis.
Pentagon would send less","support, trump",,positive
166, constinsp YoSwaroop apparrnnaa chandrikrajdeep deewanefilmy BabuBhaiyaa ShehzadInd itweetu HemalAThakkar itsIAK vivekag,,,neutral
167," JoParkerBear Mexican protesters are blocking a border crossing by Arizona. They dont want us getting them sick.  

Coronavirus Mexi",,,neutral
168, BaesC1 This my friends is the future of AnimalBreeding. So proud of my hard working and motivated students who are working diligent,"diligent, motivated, proud",hard,positive
169, hollyanndoan You cant got to the grocery store but you can sit beside someone on an Air Canada flight from Toronto to Vancouver Wha,,,neutral
170, LaurieGarrett Well this is certainly grim  TheEconomist special intell unit predicts nearly all G20 nations will be pushed into a,well,grim,neutral
171,kmartinezxo Just btw a bunch of doctors will give you samples to try  i got like 3 tubes of retinA before leaving Canada hehe,like,,positive
172, gilmcgowan Every Premier in Canada has acted to protect renters by announcing policies to prevent evictions resulting from the COVID1,"premier, protect",,positive
173," mcspocky Americans not welcome due to virus say Mexicans.

Mexican protesters shut a US southern border crossing amid fears that unte",welcome,"fears, virus",negative
174,JeffreeStar pulte JeffreeStarApproved  Im an international student stuck in Canada with no financial means to get a ticket to India. I have a surgery that was planned in April and its crucial. It would mean the world to me if I could get some help. Love and respect Sim.,"love, respect",stuck,positive
175,Canada To Give 2000 A Month To Everyone Impacted  YouTube httpst.cosPBnD7aXoT,,,neutral
176, CBCNews A Toronto man is facing fraud charges after allegedly shipping 25 individual prohibited COVID19 testing kits to the United,,fraud,negative
177," NancyCrouse I am in Ontario and I just received an alert on my cell phone. CIVIL EMERGENCY ALE. 
All people returning to Canada mus",,emergency,negative
178,The Bank of Canada has announced another emergency rate cut along with quantitative easing which includes the buying of bonds and commercial paper. Frances Donald chief economist at Manulife Investment Management httpst.covBG8Bm1kxG,easing,emergency,neutral
179, BanffNP  Parks Canada will no longer be issuing public avalanche bulletins for the remainder of the 2020 spring season. Please stay,,avalanche,negative
180, BanffNP  Parks Canada will no longer be issuing public avalanche bulletins for the remainder of the 2020 spring season. Please stay,,avalanche,negative
181, picardonhealth A glimmer of hope  PhysicalDistancing has halved spread of COVID19 in B.C. modelling suggests by rhiannaschmunk,glimmer,,positive
182,danwootton LA amp all of California is in Lockdown because of the Covid19 Pandemic. Couldnt make any money in Canada could they his Grandmother has some pull there ,,,neutral
183, granblueen Granblue Fantasy the Animation Season 2s Extra Episode 1 Another Journey is now live on Crunchyroll Hidive and Funima,,,neutral
184, danwootton An insider said They have a beautiful cottage in Windsor... just a stones throw away from where the Queen and Prince Phi,beautiful,,positive
185,"AndrewScheer Canada Were all in this together. Lets figure out how to help eachother as best we can.

Scheer I CAME UP WITH WHATEVER WERE DOING NOW THAT WAS MY IDEA JUSTIN SCHMUSTIN",best,,positive
186, JustinTrudeau The new Canada Emergency Response Benefit will help everyone who has lost their income because of COVID19. Watch this v,benefit,"emergency, lost",negative
187," btsotc MOTS 7 has achieved 21 1s on Official Charts
1 US
1 Japan
1 UK
1 Germany
1 France
1 Korea
1 Australia
1 Spain
1 Can",,,neutral
188," DrJacobsRad Please continue to social distance yourselves. We do not want to test the capacity of our ICU infrastructure.

No country",,,neutral
189, Learning2GetBy Border towns in Canada petrified by possibility of U.S. easing coronavirus measures  National  httpst.coLrZc7jr,easing,petrified,neutral
190, nationalpost Liberals to run 113B deficit in 2021 with economy poised for stomachchurning plunge PBO httpst.coRFJN4v4Gid,poised,,positive
191, ot7agha A lot of thanks to all the AhGaSe from Canada who helped out with this project And thanks to the organisation womenshelter f,helped,,positive
192, Olufemiloye As I once said what countries like Canada give you is not money it is opportunities what you do with the opportunitie,like,,positive
193," RobertGreenhill PLEASE SHARE

At the end of a difficult week I am so ProudToBeCanadian.  Proud of outstanding Public Health Officers","outstanding, proud",difficult,positive
194, CBCManitoba Manitoba launches online counselling to help with anxiety during COVID19 pandemic. Read more here httpst.coIjEJRN5TO,,anxiety,negative
195," elpaisamerica EE UU es ya el centro mundial de la pandemia 
Canad y Brasil concentran la mayora de casos seguidos por Ecuador y",,,neutral
196, VICE So far Canadas coronavirus cases are doubling at a slower rate than elsewhere and hospitals are not yet overwhelmed. httpst,,"slower, vice",negative
197,Cermaq gets extension on deadline for Nova Scotia fish farm leases httpst.codzKsTHyUWP httpst.coh7JqcKnEfN,,,neutral
198, itsreallyalexb There are NO Canadian migrants trying to sneak across the USA border. Yet Trump uses the COVID19 crisis to further his,trump,"crisis, sneak",negative
199, starvancouver How workers at Canadas busiest port are rocking and rolling to get food supplies and face masks across the country a,,,neutral
200," dkreative1 Typical Liberal hogwash

Side step deflect and ignore until the hit hits the fan and they deny back track and blame oth",,"blame, deny, ignore",negative
201, Dutch101 All things Go by Nicki Minaj is currently playing on Canadas biggest radio station Hits 93 Toronto  NickiDay httpst.,,,neutral
202," wearenorth99 Albertas health minister Tyler Shandro went to a doctors house and verbally harassed him...

Were in a pandemic. We",,harassed,negative
203, wakeamkira This is the new Canada Arm,,,neutral
204, DamianFresolone La OMS confirm que Argentina es uno de los diez pases seleccionados para realizar ensayos clnicos sobre la cura del,,,neutral
205,COVID19 means big changes for realtors home buyers and sellers httpst.coiEWh6wqIXd httpst.co6WHe75jIDZ,,,neutral
206, pnwkate Young bald eagle practising SocialDistancing on a logging post in the fraserriver richmondbc richmondmoments birds wildl,,,neutral
207, andreahuncar Alberta healthcare workers and AHSmedia reach agreement on protective equipment for COVID19 after 30 Edmonton nurses r,protective,,positive
208, OBrienIPH On WorldRefugeeDay we would like to acknowledge our dedicated colleagues at the Institutes RefugeeHealth platform  a cl,"dedicated, like",,positive
